      alt[km]    geometric factor
 4.255000E+02         8.661035E-01
 4.265000E+02         8.661784E-01
 4.275000E+02         8.662528E-01
 4.285000E+02         8.663265E-01
 4.295000E+02         8.663996E-01
 4.305000E+02         8.664721E-01
 4.315000E+02         8.665441E-01
 4.325000E+02         8.666154E-01
 4.335000E+02         8.666862E-01
 4.345000E+02         8.667565E-01
 4.355000E+02         8.668261E-01
 4.365000E+02         8.668952E-01
 4.375000E+02         8.669638E-01
 4.385000E+02         8.670318E-01
 4.395000E+02         8.670993E-01
 4.405000E+02         8.671662E-01
 4.415000E+02         8.672327E-01
 4.425000E+02         8.672986E-01
 4.435000E+02         8.673639E-01
 4.445000E+02         8.674288E-01
 4.455000E+02         8.674931E-01
 4.465000E+02         8.675569E-01
 4.475000E+02         8.676203E-01
 4.485000E+02         8.676831E-01
 4.495000E+02         8.677455E-01
 4.505000E+02         8.678073E-01
 4.515000E+02         8.678687E-01
 4.525000E+02         8.679296E-01
 4.535000E+02         8.679900E-01
 4.545000E+02         8.680500E-01
 4.555000E+02         8.681094E-01
 4.565000E+02         8.681685E-01
 4.575000E+02         8.682270E-01
 4.585000E+02         8.682852E-01
 4.595000E+02         8.683428E-01
 4.605000E+02         8.684000E-01
 4.615000E+02         8.684568E-01
 4.625000E+02         8.685132E-01
 4.635000E+02         8.685691E-01
 4.645000E+02         8.686245E-01
 4.655000E+02         8.686796E-01
 4.665000E+02         8.687342E-01
 4.675000E+02         8.687884E-01
 4.685000E+02         8.688422E-01
 4.695000E+02         8.688956E-01
 4.705000E+02         8.689486E-01
 4.715000E+02         8.690012E-01
 4.725000E+02         8.690534E-01
 4.735000E+02         8.691051E-01
 4.745000E+02         8.691565E-01
 4.755000E+02         8.692075E-01
 4.765000E+02         8.692582E-01
 4.775000E+02         8.693084E-01
 4.785000E+02         8.693582E-01
 4.795000E+02         8.694077E-01
 4.805000E+02         8.694568E-01
 4.815000E+02         8.695056E-01
 4.825000E+02         8.695539E-01
 4.835000E+02         8.696019E-01
 4.845000E+02         8.696496E-01
 4.855000E+02         8.696969E-01
 4.865000E+02         8.697438E-01
 4.875000E+02         8.697904E-01
 4.885000E+02         8.698366E-01
 4.895000E+02         8.698825E-01
 4.905000E+02         8.699281E-01
 4.915000E+02         8.699733E-01
 4.925000E+02         8.700182E-01
 4.935000E+02         8.700627E-01
 4.945000E+02         8.701069E-01
 4.955000E+02         8.701508E-01
 4.965000E+02         8.701944E-01
 4.975000E+02         8.702376E-01
 4.985000E+02         8.702805E-01
 4.995000E+02         8.703231E-01
 5.005000E+02         8.703654E-01
 5.015000E+02         8.704074E-01
 5.025000E+02         8.704491E-01
 5.035000E+02         8.704904E-01
 5.045000E+02         8.705315E-01
 5.055000E+02         8.705723E-01
 5.065000E+02         8.706127E-01
 5.075000E+02         8.706529E-01
 5.085000E+02         8.706928E-01
 5.095000E+02         8.707323E-01
 5.105000E+02         8.707716E-01
 5.115000E+02         8.708106E-01
 5.125000E+02         8.708494E-01
 5.135000E+02         8.708878E-01
 5.145000E+02         8.709260E-01
 5.155000E+02         8.709639E-01
 5.165000E+02         8.710015E-01
 5.175000E+02         8.710388E-01
 5.185000E+02         8.710759E-01
 5.195000E+02         8.711127E-01
 5.205000E+02         8.711492E-01
 5.215000E+02         8.711855E-01
 5.225000E+02         8.712215E-01
 5.235000E+02         8.712573E-01
 5.245000E+02         8.712928E-01
 5.255000E+02         8.713280E-01
 5.265000E+02         8.713630E-01
 5.275000E+02         8.713977E-01
 5.285000E+02         8.714322E-01
 5.295000E+02         8.714665E-01
 5.305000E+02         8.715004E-01
 5.315000E+02         8.715342E-01
 5.325000E+02         8.715677E-01
 5.335000E+02         8.716010E-01
 5.345000E+02         8.716340E-01
 5.355000E+02         8.716668E-01
 5.365000E+02         8.716994E-01
 5.375000E+02         8.717317E-01
 5.385000E+02         8.717638E-01
 5.395000E+02         8.717957E-01
 5.405000E+02         8.718274E-01
 5.415000E+02         8.718588E-01
 5.425000E+02         8.718900E-01
 5.435000E+02         8.719210E-01
 5.445000E+02         8.719517E-01
 5.455000E+02         8.719823E-01
 5.465000E+02         8.720126E-01
 5.475000E+02         8.720427E-01
 5.485000E+02         8.720726E-01
 5.495000E+02         8.721023E-01
 5.505000E+02         8.721318E-01
 5.515000E+02         8.721611E-01
 5.525000E+02         8.721902E-01
 5.535000E+02         8.722190E-01
 5.545000E+02         8.722477E-01
 5.555000E+02         8.722762E-01
 5.565000E+02         8.723044E-01
 5.575000E+02         8.723325E-01
 5.585000E+02         8.723604E-01
 5.595000E+02         8.723881E-01
 5.605000E+02         8.724155E-01
 5.615000E+02         8.724428E-01
 5.625000E+02         8.724699E-01
 5.635000E+02         8.724969E-01
 5.645000E+02         8.725236E-01
 5.655000E+02         8.725501E-01
 5.665000E+02         8.725765E-01
 5.675000E+02         8.726026E-01
 5.685000E+02         8.726286E-01
 5.695000E+02         8.726544E-01
